"","PrimaryType","frequency"
"1","ARSON",807
"2","ASSAULT",37937
"3","BATTERY",107961
"4","BURGLARY",36233
"5","CONCEALED CARRY LICENSE VIOLATION",6
"6","CRIM SEXUAL ASSAULT",1866
"7","CRIMINAL DAMAGE",78089
"8","CRIMINAL TRESPASS",23358
"9","DECEPTIVE PRACTICE",18366
"10","GAMBLING",1489
"11","HOMICIDE",921
"12","HUMAN TRAFFICKING",2
"13","INTERFERENCE WITH PUBLIC OFFICER",840
"14","INTIMIDATION",431
"15","KIDNAPPING",624
"16","LIQUOR LAW VIOLATION",1588
"17","MOTOR VEHICLE THEFT",34514
"18","NARCOTICS",78078
"19","NON-CRIMINAL",9
"20","OBSCENITY",28
"21","OFFENSE INVOLVING CHILDREN",4269
"22","OTHER NARCOTIC VIOLATION",14
"23","OTHER OFFENSE",42134
"24","PROSTITUTION",11686
"25","PUBLIC INDECENCY",7
"26","PUBLIC PEACE VIOLATION",3630
"27","RITUALISM",1
"28","ROBBERY",21232
"29","SEX OFFENSE",2253
"30","STALKING",311
"31","THEFT",124931
"32","WEAPONS VIOLATION",6611
