"","PrimaryType","frequency"
"1","ARSON",816
"2","ASSAULT",38972
"3","BATTERY",110387
"4","BURGLARY",38870
"5","CONCEALED CARRY LICENSE VIOLATION",6
"6","CRIM SEXUAL ASSAULT",1982
"7","CRIMINAL DAMAGE",81414
"8","CRIMINAL TRESPASS",23784
"9","DECEPTIVE PRACTICE",22024
"10","GAMBLING",1506
"11","HOMICIDE",934
"12","HUMAN TRAFFICKING",2
"13","INTERFERENCE WITH PUBLIC OFFICER",860
"14","INTIMIDATION",455
"15","KIDNAPPING",651
"16","LIQUOR LAW VIOLATION",1594
"17","MOTOR VEHICLE THEFT",37070
"18","NARCOTICS",79112
"19","NON-CRIMINAL",10
"20","OBSCENITY",30
"21","OFFENSE INVOLVING CHILDREN",4598
"22","OTHER NARCOTIC VIOLATION",14
"23","OTHER OFFENSE",45943
"24","PROSTITUTION",11795
"25","PUBLIC INDECENCY",7
"26","PUBLIC PEACE VIOLATION",3698
"27","RITUALISM",1
"28","ROBBERY",21577
"29","SEX OFFENSE",2371
"30","STALKING",328
"31","THEFT",136421
"32","WEAPONS VIOLATION",6675
