"","PrimaryType","frequency"
"1","ARSON",1958
"2","ASSAULT",72710
"3","BATTERY",219893
"4","BURGLARY",64653
"5","CONCEALED CARRY LICENSE VIOLATION",15
"6","CRIM SEXUAL ASSAULT",3975
"7","CRIMINAL DAMAGE",140352
"8","CRIMINAL TRESPASS",41164
"9","DECEPTIVE PRACTICE",36259
"10","GAMBLING",2599
"11","HOMICIDE",1977
"12","HUMAN TRAFFICKING",3
"13","INTERFERENCE WITH PUBLIC OFFICER",1649
"14","INTIMIDATION",787
"15","KIDNAPPING",1170
"16","LIQUOR LAW VIOLATION",2448
"17","MOTOR VEHICLE THEFT",58544
"18","NARCOTICS",137102
"19","NON-CRIMINAL",12
"20","OBSCENITY",49
"21","OFFENSE INVOLVING CHILDREN",7591
"22","OTHER NARCOTIC VIOLATION",24
"23","OTHER OFFENSE",74637
"24","PROSTITUTION",16169
"25","PUBLIC INDECENCY",20
"26","PUBLIC PEACE VIOLATION",6740
"27","RITUALISM",4
"28","ROBBERY",42601
"29","SEX OFFENSE",4476
"30","STALKING",550
"31","THEFT",237040
"32","WEAPONS VIOLATION",11192
