"","PrimaryType","frequency"
"1","ARSON",150
"2","ASSAULT",6109
"3","BATTERY",16259
"4","BURGLARY",4344
"5","CONCEALED CARRY LICENSE VIOLATION",15
"6","CRIM SEXUAL ASSAULT",505
"7","CRIMINAL DAMAGE",9896
"8","CRIMINAL TRESPASS",2020
"9","DECEPTIVE PRACTICE",5170
"10","GAMBLING",91
"11","HOMICIDE",275
"12","HUMAN TRAFFICKING",5
"13","INTERFERENCE WITH PUBLIC OFFICER",316
"14","INTIMIDATION",45
"15","KIDNAPPING",70
"16","LIQUOR LAW VIOLATION",63
"17","MOTOR VEHICLE THEFT",3424
"18","NARCOTICS",3898
"19","NON-CRIMINAL",12
"20","OBSCENITY",13
"21","OFFENSE INVOLVING CHILDREN",679
"22","OTHER NARCOTIC VIOLATION",2
"23","OTHER OFFENSE",5214
"24","PROSTITUTION",257
"25","PUBLIC INDECENCY",5
"26","PUBLIC PEACE VIOLATION",518
"27","ROBBERY",3788
"28","SEX OFFENSE",328
"29","STALKING",50
"30","THEFT",19680
"31","WEAPONS VIOLATION",1107
